Pseudomonas syringae pv. tomato str. DC3000 chromosome, complete genome - 1..6397126
5481 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
2491341..2492324	+	327	28869451	-	PSPTO_2249	-	COG1721R	hypothetical protein
2492420..2494345	+	641	28869452	-	PSPTO_2250	-	COG1305E	transglutaminase-like domain protein
2494370..2495131	+	253	28869453	-	PSPTO_2251	-	COG5607S	hypothetical protein
2496096..2496341	-	81	28869454	-	PSPTO_2253	-	-	hypothetical protein
2496461..2497936	-	491	28869455	-	PSPTO_2254	-	COG0840NT	methyl-accepting chemotaxis protein
2498021..2498857	-	278	28869456	-	PSPTO_2255	-	COG0084L	TatD family hydrolase
2499048..2500469	+	473	28869457	-	PSPTO_2256	-	COG4623M	transglycosylase
2500576..2501010	+	144	28869458	-	PSPTO_2257	-	COG2259S	DoxD-like family protein
2501881..2504172	+	763	28869459	-	PSPTO_2259	-	COG3829KT	sigma-54 dependent transcriptional regulator
2504194..2505423	+	409	28869460	-	PSPTO_2260	-	COG3535S	hypothetical protein
2505420..2506136	+	238	28869461	-	PSPTO_2261	-	COG4126E	racemase
2506204..2507247	-	347	28869462	-	PSPTO_2262	-	-	hypothetical protein
2507215..2507652	+	145	28869463	-	PSPTO_2263	-	-	hypothetical protein
2508087..2508416	+	109	28869464	-	PSPTO_2264	-	-	hypothetical protein
2508463..2508936	+	157	28869465	greB-1	PSPTO_2265	-	COG0782K	transcription elongation factor GreB
2509214..2511730	-	838	28869466	-	PSPTO_2266	-	COG3127Q	permease
2511730..2512413	-	227	28869467	-	PSPTO_2267	-	COG4181Q	ABC transporter ATP-binding protein
2512424..2513029	+	201	28869468	-	PSPTO_2268	-	COG2755E	acyl-CoA thioesterase I
2513086..2513367	+	93	28869469	-	PSPTO_2269	-	-	hypothetical protein
2513476..2514441	+	321	28869470	-	PSPTO_2270	-	COG1376S	ErfK/YbiS/YcfS/YnhG family protein
2514550..2514663	-	37	28869471	-	PSPTO_2271	-	-	hypothetical protein
2514998..2515249	-	83	28869472	oprI	PSPTO_2272	-	-	outer membrane lipoprotein OprI
2515482..2515655	+	57	28869473	-	PSPTO_2273	-	-	hypothetical protein
2515722..2516009	+	95	28869474	-	PSPTO_2274	-	COG2388R	hypothetical protein
2516096..2517172	-	358	28869475	aroF-1	PSPTO_2275	-	COG0722E	phospho-2-dehydro-3-deoxyheptonate aldolase
2517416..2518387	+	323	28869476	panE-1	PSPTO_2276	-	COG1893H	2-dehydropantoate 2-reductase
2518391..2519311	+	306	28869477	-	PSPTO_2277	-	-	5'-nucleotidase
2519390..2519893	+	167	28869478	-	PSPTO_2278	-	COG0589T	universal stress protein family
2520059..2521033	+	324	28869479	cysB	PSPTO_2279	-	COG0583K	Cys regulon transcriptional activator
2521178..2521912	-	244	28869480	cysH	PSPTO_2280	-	COG0175EH	phosphoadenosine phosphosulfate reductase
2521957..2522670	+	237	28869481	-	PSPTO_2281	-	COG0560E	phosphoserine phosphatase
2522822..2524165	-	447	28869482	pabB	PSPTO_2282	-	COG0147EH	para-aminobenzoate synthase, component I
2524255..2525235	-	326	28869483	-	PSPTO_2283	-	COG0189HJ	hypothetical protein
2525232..2526773	-	513	28869484	-	PSPTO_2284	-	COG4485S	membrane protein
2526778..2527329	-	183	28869485	-	PSPTO_2285	-	COG4067O	hypothetical protein
2527650..2528348	+	232	28869486	-	PSPTO_2286	-	COG1802K	GntR family transcriptional regulator
2528345..2529238	+	297	28869487	prpB	PSPTO_2287	-	COG2513G	methylisocitrate lyase
2529613..2530740	+	375	28869488	prpC	PSPTO_2288	-	COG0372C	2-methylcitrate synthase
2530833..2533424	+	863	28869489	-	PSPTO_2289	-	COG1048C	aconitate hydratase
2533545..2534735	+	396	28869490	-	PSPTO_2290	-	COG2828S	hypothetical protein
2534741..2535559	-	272	28869491	-	PSPTO_2291	-	COG1806S	hypothetical protein
2535753..2538128	+	791	28869492	ppsA	PSPTO_2292	-	COG0574G	phosphoenolpyruvate synthase
2538321..2539313	+	330	28869493	-	PSPTO_2293	-	COG2267I	esterase/lipase/thioesterase family protein
2539402..2539890	+	162	28869494	-	PSPTO_2294	-	COG0684H	ribonuclease activity regulator protein RraA
2539902..2540897	+	331	28869495	cmaX	PSPTO_2295	-	COG0598P	cmaX protein
2540983..2541231	+	82	28869496	crfX	PSPTO_2296	-	-	crfX protein
2541234..2542058	+	274	28869497	-	PSPTO_2297	-	COG3264M	membrane protein
2542234..2542731	+	165	28869498	-	PSPTO_2298	-	COG1595K	RNA polymerase sigma factor SigX
2542838..2543872	+	344	28869499	oprF	PSPTO_2299	-	COG2885M	outer membrane porin OprF
2543960..2544721	-	253	28869500	cobA	PSPTO_2300	-	COG0007H	uroporphyrin-III C-methyltransferase
2544732..2547458	-	908	28869501	nasA	PSPTO_2301	-	COG0243C	nitrate reductase
2547449..2548678	-	409	28869502	-	PSPTO_2302	-	COG1251C	assimilatory nitrate reductase electron transfer subunit domain protein
2548961..2550550	-	529	28869503	-	PSPTO_2303	-	COG0631T	serine/threonine protein kinase
2550630..2551841	-	403	28869504	-	PSPTO_2304	-	COG2223P	nitrate transporter
2552817..2554064	+	415	28869505	lsc-2	PSPTO_2305	-	-	levansucrase
2554122..2554697	-	191	28869506	nasT	PSPTO_2306	-	COG3707T	response regulator NasT
2554712..2555923	-	403	28869507	-	PSPTO_2307	-	COG0715P	hypothetical protein
2555920..2556117	-	65	28869508	-	PSPTO_2308	-	-	hypothetical protein
2556168..2557199	+	343	28869509	pyrD	PSPTO_2309	-	COG0167F	dihydroorotate dehydrogenase
2557345..2557560	-	71	28869510	rmf	PSPTO_2310	-	COG3130J	ribosome modulation factor-related protein
2558146..2560434	+	762	281494531	-	PSPTO_2311	-	COG0116L	23S rRNA m(2)G2445 methyltransferase
2560473..2561996	+	507	28869512	-	PSPTO_2312	-	COG3614T	CHASE domain/PAS domain protein
2561986..2562957	+	323	28869513	-	PSPTO_2313	-	COG2199T	sensory box/GGDEF domain protein
2563001..2564467	-	488	28869514	dacB	PSPTO_2314	-	COG2027M	D-alanyl-D-alanine carboxypeptidase
2564794..2565138	+	114	28869515	-	PSPTO_2315	-	COG3171S	hypothetical protein
2565244..2566677	-	477	28869516	-	PSPTO_2316	-	COG0642T	sensor histidine kinase/response regulator
2566716..2568320	+	534	28869517	-	PSPTO_2317	-	COG1961L	hypothetical protein
2568386..2568700	+	104	28869518	-	PSPTO_2318	-	-	hypothetical protein
2569753..2570166	-	137	28869519	-	PSPTO_2319	-	COG1961L	resolvase
2571887..2573140	-	417	28869520	-	PSPTO_2320	-	COG3930S	hypothetical protein
2573654..2574676	+	340	28869521	-	PSPTO_2321	-	COG4584L	ISPsy4, transposase
2574673..2575482	+	269	28869522	-	PSPTO_2322	-	COG1484L	ISPsy4, transposition helper protein
2575936..2577726	-	596	28869523	-	PSPTO_2323	-	-	hypothetical protein
2577833..2578810	-	325	28869524	-	PSPTO_2324	-	COG3039L	ISPssy, transposase
2580097..2580357	-	86	28869525	-	PSPTO_2325	-	-	hypothetical protein
2581120..2583375	-	751	28869526	-	PSPTO_2326	-	COG0834ET	extracellular solute-binding protein/sensory box protein
2583651..2584628	-	325	28869527	-	PSPTO_2328	-	COG3039L	ISPssy, transposase
2585606..2585998	-	130	28869528	-	PSPTO_2330	-	COG2204T	response regulator
2586250..2587581	-	443	28869529	-	PSPTO_2331	-	COG0232F	deoxyguanosinetriphosphate triphosphohydrolase-like protein
2587685..2588152	+	155	28869530	-	PSPTO_2332	-	-	hypothetical protein
2588101..2588493	-	130	28869531	-	PSPTO_2333	-	COG5393S	hypothetical protein
2588498..2588812	-	104	28869532	-	PSPTO_2334	-	COG4575S	hypothetical protein
2589210..2590280	+	356	28869533	-	PSPTO_2335	-	COG1835I	exopolysaccharide production protein ExoZ
2590311..2590601	+	96	28869534	-	PSPTO_2336	-	-	hypothetical protein
2590640..2591569	+	309	28869535	pcaQ	PSPTO_2337	-	COG0583K	pca operon transcriptional activator PcaQ
2591697..2592416	+	239	28869536	pcaH	PSPTO_2338	-	COG3485Q	protocatechuate 3,4-dioxygenase subunit beta
2592428..2593030	+	200	28869537	pcaG	PSPTO_2339	-	COG3485Q	protocatechuate 3,4-dioxygenase subunit alpha
2593098..2594447	+	449	28869538	pcaK	PSPTO_2340	-	COG2814G	4-hydroxybenzoate transporter
2594472..2595833	+	453	28869539	pcaB	PSPTO_2341	-	COG0015F	3-carboxy-cis,cis-muconate cycloisomerase
2595830..2596228	+	132	28869540	pcaC-1	PSPTO_2342	-	COG0599S	4-carboxymuconolactone decarboxylase
2596721..2597977	-	418	28869541	-	PSPTO_2343	-	-	outer membrane porin, OprD family
2598221..2599087	+	288	28869542	-	PSPTO_2344	-	COG5006R	membrane protein
2599195..2600514	-	439	28869543	-	PSPTO_2345	-	COG2271G	transporter
2601132..2603039	+	635	28869544	-	PSPTO_2346	-	COG3185ER	4-hydroxyphenylpyruvate dioxygenase
2603144..2603815	+	223	28869545	-	PSPTO_2347	-	COG1309K	TetR family transcriptional regulator
2603819..2604673	-	284	28869546	-	PSPTO_2348	-	COG0169E	shikimate 5-dehydrogenase
2604859..2605749	+	296	170660221	-	PSPTO_2349	-	COG0564J	RNA pseudouridine synthase family protein
2605826..2606050	-	74	28869547	-	PSPTO_2350	-	-	lipoprotein
2606146..2606751	-	201	28869548	mobA	PSPTO_2351	-	COG0746H	molybdopterin-guanine dinucleotide biosynthesis protein MobA
2606827..2607366	+	179	28869549	moaB	PSPTO_2352	-	COG0521H	molybdenum cofactor biosynthesis protein B
2607373..2608584	+	403	28869550	moeA	PSPTO_2353	-	COG0303H	molybdopterin biosynthesis protein MoeA
2608674..2609600	+	308	28869551	-	PSPTO_2354	-	COG1215M	glycosyl transferase family protein
2609648..2611456	-	602	28869552	-	PSPTO_2355	-	COG0475P	glutathione-regulated potassium-efflux system protein
2611521..2611904	-	127	28869553	-	PSPTO_2356	-	-	hypothetical protein
2611919..2612308	-	129	300781811	-	PSPTO_5638	-	COG0735P	hypothetical protein
2612511..2613539	-	342	28869555	-	PSPTO_2358	-	COG3712PT	hypothetical protein
2613769..2614800	+	343	28869556	allD	PSPTO_2359	-	COG2055C	ureidoglycolate dehydrogenase
2614830..2615099	+	89	28869557	-	PSPTO_2360	-	-	hypothetical protein
2615212..2615442	+	76	28869558	-	PSPTO_2361	-	-	hypothetical protein
2615439..2616230	+	263	28869559	map-2	PSPTO_2362	-	COG0024J	methionine aminopeptidase
2616307..2616546	-	79	28869560	-	PSPTO_2363	-	-	hypothetical protein
2616752..2617453	-	233	28869561	endA	PSPTO_2364	-	COG2356L	endonuclease I
2617458..2617709	-	83	28869562	-	PSPTO_2365	-	-	hypothetical protein
2617846..2618070	+	74	28869563	-	PSPTO_2366	-	-	lipoprotein
2618254..2619213	+	319	28869564	rbsB-1	PSPTO_2367	-	COG1879G	ribose ABC transporter periplasmic ribose-binding protein
2619267..2620820	+	517	28869565	rbsA-1	PSPTO_2368	-	COG1129G	ribose ABC transporter ATP-binding protein
2620817..2621809	+	330	28869566	rbsC-1	PSPTO_2369	-	COG1172G	ribose ABC transporter permease
2621811..2622827	+	338	28869567	rbsR	PSPTO_2370	-	COG1609K	ribose operon repressor
2622858..2623778	+	306	28869568	rbsK	PSPTO_2371	-	COG0524G	ribokinase
2623775..2624179	+	134	28869569	-	PSPTO_2372	-	COG1869G	ribose ABC transporter protein
2624219..2625244	+	341	28869570	-	PSPTO_2373	-	COG1957F	inosine/uridine-preferring nucleoside hydrolase
2625268..2625723	-	151	28869571	-	PSPTO_2374	-	-	hypothetical protein
2625780..2626115	+	111	28869572	-	PSPTO_2375	-	-	lipoprotein
2626181..2626393	-	70	28869573	-	PSPTO_2376	-	COG1278K	cold shock domain family protein
2626699..2627004	-	101	28869574	-	PSPTO_2377	-	-	hypothetical protein
2627367..2629289	+	640	28869575	thrS	PSPTO_2378	-	COG0441J	threonyl-tRNA synthetase
2629307..2629840	+	177	28869576	infC	PSPTO_2379	-	COG0290J	translation initiation factor IF-3
2629901..2630095	+	64	28869577	rpmI	PSPTO_2380	-	COG0291J	50S ribosomal protein L35
2630125..2630481	+	118	28869578	rplT	PSPTO_2381	-	COG0292J	50S ribosomal protein L20
2630585..2631601	+	338	28869579	pheS	PSPTO_2382	-	COG0016J	phenylalanyl-tRNA synthetase subunit alpha
2631630..2634008	+	792	28869580	pheT	PSPTO_2383	-	COG0072J	phenylalanyl-tRNA synthetase subunit beta
2634012..2634314	+	100	28869581	ihfA	PSPTO_2384	-	COG0776L	integration host factor subunit alpha
2634295..2634651	+	118	28869582	-	PSPTO_2385	-	COG0789K	transcriptional regulator
2635219..2636106	-	295	28869583	-	PSPTO_2386	-	COG0270L	C-5 cytosine-specific DNA methylase family protein
2636500..2637522	+	340	28869584	-	PSPTO_2387	-	COG4584L	ISPsy4, transposase
2637519..2638328	+	269	28869585	-	PSPTO_2388	-	COG1484L	ISPsy4, transposition helper protein
2638723..2639505	-	260	28869586	-	PSPTO_2389	-	COG0175EH	hypothetical protein
2639556..2640326	+	256	28869587	-	PSPTO_2390	-	-	hypothetical protein
2640619..2640939	-	106	28869588	-	PSPTO_2391	-	-	hypothetical protein
2640996..2641355	+	119	28869589	-	PSPTO_2392	-	COG3436L	ISPsy5, Orf1
2643148..2644068	-	306	28869590	-	PSPTO_2394	-	COG0535R	radical SAM domain-containing protein
2644361..2645314	-	317	28869591	-	PSPTO_2395	-	COG2390K	transcriptional regulator
2645396..2646196	-	266	28869592	-	PSPTO_2396	-	COG1028IQR	short chain dehydrogenase/reductase family oxidoreductase
2646227..2646991	-	254	28869593	-	PSPTO_2397	-	COG1028IQR	short chain dehydrogenase
2647023..2648552	-	509	28869594	rbsA-2	PSPTO_2398	-	COG1129G	ribose ABC transporter ATP-binding protein
2648568..2649500	-	310	28869595	rbsB-2	PSPTO_2399	-	COG1879G	ribose ABC transporter periplasmic ribose-binding protein
2649567..2650571	-	334	28869596	rbsC-2	PSPTO_2400	-	COG1172G	ribose ABC transporter permease
2650935..2651771	+	278	28869597	-	PSPTO_2401	-	COG3959G	transketolase
2651761..2652693	+	310	28869598	-	PSPTO_2402	-	COG3958G	transketolase, C-terminal subunit
2652724..2654199	+	491	28869599	-	PSPTO_2403	-	COG0554C	glycerol kinase
2654285..2654584	-	99	28869600	-	PSPTO_2404	-	COG0640K	ArsR family transcriptional regulator
2654680..2655771	+	363	28869601	xenA	PSPTO_2405	-	COG1902C	xenobiotic reductase A
2655936..2656382	+	148	28869602	-	PSPTO_2406	-	COG1959K	hypothetical protein
2656519..2657163	+	214	28869603	-	PSPTO_2407	-	COG2085R	hypothetical protein
2657199..2657969	-	256	28869604	ureD-1	PSPTO_2408	-	COG0829O	urease accessory protein UreD
2658053..2658715	-	220	28869605	ureG-1	PSPTO_2409	-	COG0378OK	urease accessory protein UreG
2660459..2661154	-	231	28869606	-	PSPTO_2411	-	COG0831E	urease, beta/gamma subunit
2661170..2661901	-	243	28869607	ureF-1	PSPTO_2412	-	COG0830O	urease accessory protein UreF
2661898..2662338	-	146	28869608	-	PSPTO_2413	-	COG2371O	urease accessory protein UreE
2662361..2663050	-	229	28869609	-	PSPTO_2414	-	COG0410E	branched-chain amino acid ABC transporter ATP-binding protein
2663053..2663790	-	245	28869610	-	PSPTO_2415	-	COG4674R	branched-chain amino acid ABC transporter ATP-binding protein
2663787..2664929	-	380	28869611	-	PSPTO_2416	-	COG4177E	branched-chain amino acid ABC transporter permease
2664931..2665812	-	293	28869612	-	PSPTO_2417	-	COG0559E	branched-chain amino acid ABC transporter permease
2665900..2667081	-	393	28869613	-	PSPTO_2418	-	COG0683E	branched-chain amino acid ABC transporter substrate-binding protein
2667858..2669006	+	382	28869614	-	PSPTO_2419	-	COG0683E	regulatory protein
2669003..2669635	+	210	28869615	-	PSPTO_2420	-	COG3707T	transcription antitermination protein
2669857..2671392	+	511	28869616	amdA	PSPTO_2421	-	COG0154J	amidase
2671508..2673427	-	639	28869617	-	PSPTO_2422	-	COG1322S	hypothetical protein
2673558..2674532	-	324	28869618	-	PSPTO_2423	-	COG0715P	ABC transporter, periplasmic substrate-binding protein, aliphatic sulfonates family
2674609..2675568	-	319	28869619	-	PSPTO_2424	-	COG0111HE	D-isomer specific 2-hydroxyacid dehydrogenase family protein
2675565..2676911	-	448	28869620	-	PSPTO_2425	-	COG2141C	monooxygenase, NtaA/SnaA/SoxA family
2677987..2678964	+	325	28869621	-	PSPTO_2426	-	COG3039L	ISPssy, transposase
2679142..2680236	+	364	28869622	-	PSPTO_2427	-	COG0112E	serine hydroxymethyltransferase
2680315..2681655	+	446	28869623	-	PSPTO_2428	-	COG0534V	multidrug resistance protein NorM
2681681..2683111	+	476	28869624	-	PSPTO_2429	-	COG1541H	capK domain protein
2683108..2684091	+	327	28869625	-	PSPTO_2430	-	COG0031E	pyridoxal-phosphate dependent enzyme family protein
2684150..2685067	+	305	28869626	-	PSPTO_2431	-	COG0079E	hypothetical protein
2685197..2686174	-	325	28869627	-	PSPTO_2432	-	COG3039L	ISPssy, transposase
2686388..2686519	-	43	28869628	-	PSPTO_2433	-	-	hypothetical protein
2686542..2687483	+	313	28869629	-	PSPTO_2434	-	COG1052CHR	D-isomer specific 2-hydroxyacid dehydrogenase family protein
2687499..2688914	+	471	28869630	-	PSPTO_2435	-	COG0277C	oxidoreductase, FAD-binding
2689146..2689505	+	119	28869631	-	PSPTO_2436	-	COG3436L	ISPsy5, Orf1
2689523..2691076	+	517	28869632	-	PSPTO_2437	-	COG3436L	ISPsy5, transposase
2691134..2692657	+	507	28869633	-	PSPTO_2438	-	COG1231E	amine oxidase, flavin-containing protein
2692713..2693924	+	403	28869634	-	PSPTO_2439	-	COG1960I	acyl-CoA dehydrogenase family protein
2693952..2695139	+	395	28869635	-	PSPTO_2440	-	COG1960I	acyl-CoA dehydrogenase family protein
2695933..2698065	+	710	28869636	-	PSPTO_2441	-	COG0840NT	methyl-accepting chemotaxis protein
2698089..2699552	+	487	28869637	-	PSPTO_2442	-	COG0835NT	chemotaxis protein CheW
2699607..2699732	+	41	28869638	-	PSPTO_2443	-	-	hypothetical protein
2699806..2700291	-	161	28869639	-	PSPTO_2444	-	COG1247M	GNAT family acetyltransferase
2700352..2700789	-	145	28869640	-	PSPTO_2445	-	-	hypothetical protein
2700804..2701694	-	296	28869641	-	PSPTO_2446	-	COG0491R	metallo-beta-lactamase superfamily protein
2701802..2702686	+	294	28869642	-	PSPTO_2447	-	COG0583K	LysR family transcriptional regulator
2702812..2704752	-	646	28869643	-	PSPTO_2448	-	COG0840NT	methyl-accepting chemotaxis protein
2705019..2705591	-	190	28869644	soxG-2	PSPTO_2449	-	COG4583E	sarcosine oxidase, gamma subunit
2705595..2708501	-	968	28869645	soxA-2	PSPTO_2450	-	COG0404E	sarcosine oxidase, alpha subunit
2708498..2708803	-	101	28869646	soxD-2	PSPTO_2451	-	COG4311E	sarcosine oxidase subunit delta
2708817..2710058	-	413	28869647	soxB-2	PSPTO_2452	-	COG0665E	sarcosine oxidase, beta subunit
2710040..2710942	-	300	28869648	folD-1	PSPTO_2453	-	COG0190H	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
2710939..2711805	-	288	28869649	purU-2	PSPTO_2454	-	COG0788F	formyltetrahydrofolate deformylase
2712390..2712626	+	78	28869650	-	PSPTO_2455	-	-	hypothetical protein
2712652..2712768	-	38	28869651	-	PSPTO_2456	-	-	hypothetical protein
2712992..2714518	+	508	28869652	-	PSPTO_2457	-	-	hypothetical protein
2714515..2715129	+	204	28869653	-	PSPTO_2458	-	COG5620S	hypothetical protein
2715565..2717118	-	517	28869654	-	PSPTO_2460	-	COG3436L	ISPsy5, transposase
2717136..2717495	-	119	28869655	-	PSPTO_2461	-	COG3436L	ISPsy5, Orf1
2718060..2720171	-	703	28869656	-	PSPTO_2463	-	COG4773P	TonB-dependent siderophore receptor
2720385..2721689	-	434	28869657	-	PSPTO_2464	-	COG1914P	NRAMP family Mn2+/Fe2+ transporter
2722266..2723288	+	340	28869658	-	PSPTO_2465	-	COG3547L	ISPsy7, transposase
2723961..2724710	+	249	28869659	-	PSPTO_2466	-	COG0388R	hydrolase
2724717..2725970	-	417	28869660	-	PSPTO_2467	-	COG2814G	major facilitator family transporter
2726077..2726259	-	60	28869661	-	PSPTO_2468	-	COG3313R	hypothetical protein
2726261..2726632	-	123	28869662	-	PSPTO_2469	-	-	hypothetical protein
2726819..2727910	+	363	28869663	-	PSPTO_2470	-	COG3386G	senescence marker protein-30 family protein
2728020..2728853	+	277	28869664	-	PSPTO_2471	-	-	membrane protein
2729060..2731045	+	661	28869665	-	PSPTO_2472	-	COG0840NT	methyl-accepting chemotaxis protein
2731062..2731982	+	306	28869666	-	PSPTO_2473	-	COG1879G	periplasmic substrate-binding protein
2732375..2733325	-	316	28869667	-	PSPTO_2474	-	COG1864F	DNA/RNA non-specific endonuclease
2733477..2735273	+	598	28869668	-	PSPTO_2475	-	COG0840NT	methyl-accepting chemotaxis protein
2735382..2735693	+	103	28869669	-	PSPTO_2476	-	-	hypothetical protein
2735702..2736100	-	132	28869670	-	PSPTO_2477	-	COG0251J	endoribonuclease L-PSP family protein
2736166..2738154	-	662	28869671	topB	PSPTO_2478	-	COG0550L	DNA topoisomerase III
2738331..2739158	-	275	28869672	-	PSPTO_2479	-	COG1639T	hypothetical protein
2739439..2741328	+	629	28869673	-	PSPTO_2480	-	COG0840NT	methyl-accepting chemotaxis protein
2741606..2742427	+	273	28869674	tonB-2	PSPTO_2481	-	COG0810M	tonB protein
2742562..2743290	+	242	28869675	exbB-3	PSPTO_2482	-	COG0811U	TonB system transport protein ExbB
2743322..2743693	+	123	28869676	exbD-3	PSPTO_2483	-	COG0848U	TonB system transport protein ExbD
2743976..2746378	+	800	28869677	-	PSPTO_2484	-	COG4771P	TonB-dependent siderophore receptor
2746748..2747770	+	340	28869678	-	PSPTO_2485	-	COG3547L	ISPsy7, transposase
2748125..2749162	-	345	28869679	-	PSPTO_2486	-	COG0715P	ABC transporter periplasmic substrate-binding protein
2749395..2750210	+	271	28869680	-	PSPTO_2487	-	COG0235G	aldolase II superfamily protein
2750281..2751189	+	302	28869681	-	PSPTO_2488	-	COG2066E	glutaminase
2751293..2752369	+	358	28869682	-	PSPTO_2489	-	-	hypothetical protein
2752511..2754322	+	603	28869683	-	PSPTO_2490	-	COG1132V	ABC transporter ATP-binding protein/permease
2754410..2755447	+	345	28869684	-	PSPTO_2491	-	COG0667C	oxidoreductase, aldo/keto reductase family
2755531..2756331	+	266	28869685	-	PSPTO_2492	-	COG1028IQR	short-chain dehydrogenase/reductase family oxidoreductase
2756324..2758150	+	608	28869686	-	PSPTO_2493	-	COG3387G	glycosyl hydrolase family protein
2758195..2759103	-	302	28869687	-	PSPTO_2494	-	COG0583K	LysR family transcriptional regulator
2759406..2760287	+	293	28869688	-	PSPTO_2495	-	COG0596R	alpha/beta fold family hydrolase
2760925..2762343	-	472	28869689	-	PSPTO_2496	-	COG2814G	major facilitator family transporter
2762532..2762657	-	41	28869690	-	PSPTO_2497	-	-	hypothetical protein
2762711..2762833	-	40	28869691	-	PSPTO_2498	-	-	hypothetical protein
2762823..2764055	+	410	28869692	mntH	PSPTO_2499	-	COG1914P	manganese transport protein MntH
2764117..2765568	+	483	28869693	-	PSPTO_2500	-	COG2814G	major facilitator family transporter
2765573..2765842	-	89	28869694	-	PSPTO_2501	-	-	hypothetical protein
2765910..2766113	-	67	28869695	-	PSPTO_2502	-	-	hypothetical protein
2766177..2766746	-	189	28869696	-	PSPTO_2503	-	-	hypothetical protein
2766894..2767460	+	188	28869697	-	PSPTO_2504	-	COG1280E	efflux protein, LysE family
2767470..2768303	-	277	28869698	-	PSPTO_2505	-	COG2207K	AraC family transcriptional regulator
2768415..2768723	-	102	28869699	-	PSPTO_2506	-	COG5455S	lipoprotein
2768816..2769673	-	285	28869700	-	PSPTO_2507	-	COG0702MG	hypothetical protein
2769761..2770189	+	142	28869701	-	PSPTO_2508	-	COG1733K	hypothetical protein
2770328..2772217	+	629	28869702	-	PSPTO_2509	-	COG0768M	penicillin-binding protein
2772382..2774100	+	572	28869703	poxB	PSPTO_2510	-	COG0028EH	pyruvate dehydrogenase
2774360..2776321	+	653	28869704	-	PSPTO_2511	-	COG0840NT	methyl-accepting chemotaxis protein
2777027..2777347	+	106	300781812	-	PSPTO_5639	-	-	hypothetical protein
2777452..2777559	+	35	28869706	-	PSPTO_2513	-	-	hypothetical protein
2777569..2778087	+	172	28869707	-	PSPTO_2514	-	-	hypothetical protein
2778105..2778638	+	177	28869708	-	PSPTO_2515	-	-	lipoprotein
2778665..2779663	-	332	28869709	moaA	PSPTO_2516	-	COG2896H	molybdenum cofactor biosynthesis protein A
2779927..2781276	-	449	28869710	-	PSPTO_2517	-	COG0025P	sodium/hydrogen exchanger family protein
2781389..2782441	-	350	28869711	-	PSPTO_2518	-	COG1840P	extracellular solute-binding domain protein
2782438..2783622	-	394	28869712	-	PSPTO_2519	-	COG0665E	oxidoreductase, FAD-binding protein
2783619..2785010	-	463	28869713	-	PSPTO_2520	-	COG0446R	pyridine nucleotide-disulfide oxidoreductase family protein
2785007..2785297	-	96	28869714	-	PSPTO_2521	-	COG2080C	hypothetical protein
2785312..2786106	-	264	28869715	-	PSPTO_2522	-	COG1177E	ABC transporter permease
2786110..2786982	-	290	28869716	-	PSPTO_2523	-	COG1176E	ABC transporter permease
2786979..2788007	-	342	28869717	-	PSPTO_2524	-	COG3842E	ABC transporter ATP-binding protein
2788249..2789088	+	279	28869718	-	PSPTO_2525	-	COG1414K	IclR family transcriptional regulator
2789232..2790911	+	559	28869719	-	PSPTO_2526	-	COG0840NT	methyl-accepting chemotaxis protein
2790980..2791942	-	320	28869720	-	PSPTO_2527	-	COG1092R	hypothetical protein
2792008..2792637	-	209	28869721	-	PSPTO_2528	-	COG3619S	membrane protein
2793112..2793453	-	113	28869722	-	PSPTO_2529	-	COG0545O	FKBP-type peptidyl-prolyl cis-trans isomerase
2793450..2793578	-	42	28869723	-	PSPTO_2530	-	-	hypothetical protein
2793591..2793875	-	94	28869724	-	PSPTO_2531	-	-	hypothetical protein
2794541..2796109	+	522	28869725	-	PSPTO_2532	-	COG0861P	membrane protein, TerC family
2796179..2796754	-	191	28869726	-	PSPTO_2533	-	COG0456R	GNAT family acetyltransferase
2796816..2797496	-	226	28869727	-	PSPTO_2534	-	-	hypothetical protein
2797493..2800933	-	1146	28869728	-	PSPTO_2535	-	-	hypothetical protein
2800881..2801324	-	147	28869729	-	PSPTO_2536	-	-	hypothetical protein
2801296..2801763	-	155	28869730	-	PSPTO_2537	-	-	hypothetical protein
2801756..2803798	-	680	28869731	-	PSPTO_2538	-	COG3501S	Rhs element Vgr protein
2803874..2804389	-	171	28869732	hcp-1	PSPTO_2539	-	COG3157S	secreted protein Hcp
2806011..2806988	-	325	28869733	-	PSPTO_2541	-	COG3039L	ISPssy, transposase
2807665..2808165	+	166	28869734	-	PSPTO_2543	-	COG3516S	hypothetical protein
2808195..2809670	+	491	28869735	-	PSPTO_2544	-	COG3517S	hypothetical protein
2809686..2810093	+	135	28869736	-	PSPTO_2545	-	COG3518S	hypothetical protein
2810191..2811978	+	595	28869737	-	PSPTO_2546	-	COG3519S	hypothetical protein
2811942..2812949	+	335	28869738	-	PSPTO_2547	-	COG3520S	hypothetical protein
2812959..2815562	+	867	28869739	-	PSPTO_2548	-	COG0542O	clpB protein
2815564..2817093	+	509	28869740	-	PSPTO_2549	-	COG3604KT	sigma-54 dependent transcriptional regulator
2817143..2817283	+	46	28869741	-	PSPTO_2550	-	-	hypothetical protein
2817337..2817828	+	163	28869742	-	PSPTO_2551	-	COG3521S	hypothetical protein
